day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;PEARLS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;0;BANANAS;4951;1;4946;2;4945;29;4952;31;;;;;4951.5;0.0
-1;100;PEARLS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;4.0
-1;100;BANANAS;4945;24;;;;;4952;24;;;;;4948.5;3.4443359375
-1;200;BANANAS;4945;20;;;;;4952;20;;;;;4948.5;3.79541015625
-1;200;PEARLS;9995;20;;;;;10005;20;;;;;10000.0;4.0
-1;300;PEARLS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;4.0
-1;300;BANANAS;4945;31;;;;;4952;31;;;;;4948.5;3.60400390625
-1;400;PEARLS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;4.0
-1;400;BANANAS;4945;27;;;;;4952;27;;;;;4948.5;3.33740234375
-1;500;PEARLS;9995;30;;;;;10002;4;10005;30;;;9998.5;4.0
-1;500;BANANAS;4945;30;;;;;4950;4;4952;30;;;4947.5;3.6669921875
-1;600;BANANAS;4945;25;;;;;4952;25;;;;;4948.5;3.27734375
-1;600;PEARLS;10000;5;9995;25;;;10005;25;;;;;10002.5;4.0
-1;700;PEARLS;9995;23;;;;;10005;23;;;;;10000.0;4.0
-1;700;BANANAS;4945;23;;;;;4952;23;;;;;4948.5;3.4765625
-1;800;PEARLS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;4.0
-1;800;BANANAS;4944;30;;;;;4951;30;;;;;4947.5;4.6953125
-1;900;BANANAS;4944;1;4943;22;;;4950;23;;;;;4947.0;5.22998046875
-1;900;PEARLS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;4.0
-1;1000;BANANAS;4944;26;;;;;4951;26;;;;;4947.5;4.966796875
-1;1000;PEARLS;9995;26;;;;;10005;26;;;;;10000.0;4.0
-1;1100;BANANAS;4944;26;;;;;4950;2;4951;24;;;4947.0;4.8994140625
-1;1100;PEARLS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;4.0
-1;1200;PEARLS;9995;21;;;;;9998;1;10005;21;;;9996.5;-4.0
-1;1200;BANANAS;4944;21;;;;;4951;21;;;;;4947.5;4.5439453125
-1;1300;PEARLS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;-4.0
-1;1300;BANANAS;4944;31;;;;;4951;31;;;;;4947.5;8.345703125
-1;1400;BANANAS;4945;26;;;;;4951;1;4952;25;;;4948.0;6.162109375
-1;1400;PEARLS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;-4.0
-1;1500;PEARLS;9995;27;;;;;10005;27;;;;;10000.0;-4.0
